FID,LAD19CD,LAD19NM,LAD19NMW,CIS20CD
1,E06000001,Hartlepool,NA,J06000106
2,E06000002,Middlesbrough,NA,J06000106
3,E06000003,Redcar and Cleveland,NA,J06000106
4,E06000004,Stockton-on-Tees,NA,J06000106
5,E06000005,Darlington,NA,J06000105
6,E06000006,Halton,NA,J06000118
7,E06000007,Warrington,NA,J06000118
8,E06000008,Blackburn with Darwen,NA,J06000110
9,E06000009,Blackpool,NA,J06000108
10,E06000010,"Kingston upon Hull, City of",NA,J06000128
11,E06000011,East Riding of Yorkshire,NA,J06000125
12,E06000012,North East Lincolnshire,NA,J06000133
13,E06000013,North Lincolnshire,NA,J06000133
14,E06000014,York,NA,J06000124
15,E06000015,Derby,NA,J06000139
16,E06000016,Leicester,NA,J06000141
17,E06000017,Rutland,NA,J06000142
18,E06000018,Nottingham,NA,J06000138
19,E06000019,"Herefordshire, County of",NA,J06000154
20,E06000020,Telford and Wrekin,NA,J06000143
21,E06000021,Stoke-on-Trent,NA,J06000143
22,E06000022,Bath and North East Somerset,NA,J06000209
23,E06000023,"Bristol, City of",NA,J06000209
24,E06000024,North Somerset,NA,J06000209
25,E06000025,South Gloucestershire,NA,J06000208
26,E06000026,Plymouth,NA,J06000216
27,E06000027,Torbay,NA,J06000216
28,E06000030,Swindon,NA,J06000207
29,E06000031,Peterborough,NA,J06000156
30,E06000032,Luton,NA,J06000160
31,E06000033,Southend-on-Sea,NA,J06000162
32,E06000034,Thurrock,NA,J06000163
33,E06000035,Medway,NA,J06000194
34,E06000036,Bracknell Forest,NA,J06000195
35,E06000037,West Berkshire,NA,J06000193
36,E06000038,Reading,NA,J06000196
37,E06000039,Slough,NA,J06000195
38,E06000040,Windsor and Maidenhead,NA,J06000195
39,E06000041,Wokingham,NA,J06000196
40,E06000042,Milton Keynes,NA,J06000191
41,E06000043,Brighton and Hove,NA,J06000204
42,E06000044,Portsmouth,NA,J06000205
43,E06000045,Southampton,NA,J06000203
44,E06000046,Isle of Wight,NA,J06000200
45,E06000047,County Durham,NA,J06000105
46,E06000049,Cheshire East,NA,J06000121
47,E06000050,Cheshire West and Chester,NA,J06000122
48,E06000051,Shropshire,NA,J06000145
49,E06000052,Cornwall,NA,J06000215
50,E06000053,Isles of Scilly,NA,J06000215
51,E06000054,Wiltshire,NA,J06000210
52,E06000055,Bedford,NA,J06000160
53,E06000056,Central Bedfordshire,NA,J06000160
54,E06000057,Northumberland,NA,J06000101
55,E06000058,"Bournemouth, Christchurch and Poole",NA,J06000214
56,E06000059,Dorset,NA,J06000213
57,E07000004,Aylesbury Vale,NA,J06000192
58,E07000005,Chiltern,NA,J06000192
59,E07000006,South Bucks,NA,J06000192
60,E07000007,Wycombe,NA,J06000192
61,E07000008,Cambridge,NA,J06000157
62,E07000009,East Cambridgeshire,NA,J06000157
63,E07000010,Fenland,NA,J06000157
64,E07000011,Huntingdonshire,NA,J06000157
65,E07000012,South Cambridgeshire,NA,J06000157
66,E07000026,Allerdale,NA,J06000107
67,E07000027,Barrow-in-Furness,NA,J06000107
68,E07000028,Carlisle,NA,J06000107
69,E07000029,Copeland,NA,J06000107
70,E07000030,Eden,NA,J06000107
71,E07000031,South Lakeland,NA,J06000107
72,E07000032,Amber Valley,NA,J06000137
73,E07000033,Bolsover,NA,J06000137
74,E07000034,Chesterfield,NA,J06000137
75,E07000035,Derbyshire Dales,NA,J06000137
76,E07000036,Erewash,NA,J06000137
77,E07000037,High Peak,NA,J06000137
78,E07000038,North East Derbyshire,NA,J06000137
79,E07000039,South Derbyshire,NA,J06000137
80,E07000080,Forest of Dean,NA,J06000206
81,E07000040,East Devon,NA,J06000212
82,E07000041,Exeter,NA,J06000212
83,E07000042,Mid Devon,NA,J06000212
84,E07000043,North Devon,NA,J06000212
85,E07000044,South Hams,NA,J06000216
86,E07000045,Teignbridge,NA,J06000212
87,E07000046,Torridge,NA,J06000212
88,E07000047,West Devon,NA,J06000212
89,E07000061,Eastbourne,NA,J06000201
90,E07000062,Hastings,NA,J06000201
91,E07000063,Lewes,NA,J06000201
92,E07000064,Rother,NA,J06000201
93,E07000065,Wealden,NA,J06000201
94,E07000066,Basildon,NA,J06000163
95,E07000067,Braintree,NA,J06000162
96,E07000068,Brentwood,NA,J06000163
97,E07000069,Castle Point,NA,J06000163
98,E07000070,Chelmsford,NA,J06000162
99,E07000071,Colchester,NA,J06000162
100,E07000072,Epping Forest,NA,J06000163
101,E07000073,Harlow,NA,J06000163
102,E07000074,Maldon,NA,J06000162
103,E07000075,Rochford,NA,J06000162
104,E07000076,Tendring,NA,J06000159
105,E07000077,Uttlesford,NA,J06000162
106,E07000078,Cheltenham,NA,J06000206
107,E07000079,Cotswold,NA,J06000206
108,E07000081,Gloucester,NA,J06000206
109,E07000082,Stroud,NA,J06000206
110,E07000083,Tewkesbury,NA,J06000206
111,E07000084,Basingstoke and Deane,NA,J06000200
112,E07000085,East Hampshire,NA,J06000200
113,E07000086,Eastleigh,NA,J06000200
114,E07000087,Fareham,NA,J06000200
115,E07000088,Gosport,NA,J06000200
116,E07000089,Hart,NA,J06000196
117,E07000090,Havant,NA,J06000200
118,E07000091,New Forest,NA,J06000200
119,E07000092,Rushmoor,NA,J06000196
120,E07000093,Test Valley,NA,J06000200
121,E07000094,Winchester,NA,J06000200
122,E07000095,Broxbourne,NA,J06000161
123,E07000096,Dacorum,NA,J06000161
124,E07000098,Hertsmere,NA,J06000161
125,E07000099,North Hertfordshire,NA,J06000161
126,E07000102,Three Rivers,NA,J06000161
127,E07000103,Watford,NA,J06000161
128,E07000105,Ashford,NA,J06000199
129,E07000106,Canterbury,NA,J06000197
130,E07000107,Dartford,NA,J06000199
131,E07000108,Dover,NA,J06000197
132,E07000109,Gravesham,NA,J06000199
133,E07000110,Maidstone,NA,J06000199
134,E07000111,Sevenoaks,NA,J06000199
135,E07000112,Folkestone and Hythe,NA,J06000199
136,E07000113,Swale,NA,J06000197
137,E07000114,Thanet,NA,J06000197
138,E07000115,Tonbridge and Malling,NA,J06000199
139,E07000116,Tunbridge Wells,NA,J06000199
140,E07000117,Burnley,NA,J06000109
141,E07000118,Chorley,NA,J06000110
142,E07000119,Fylde,NA,J06000108
143,E07000120,Hyndburn,NA,J06000109
144,E07000121,Lancaster,NA,J06000108
145,E07000122,Pendle,NA,J06000109
146,E07000123,Preston,NA,J06000108
147,E07000124,Ribble Valley,NA,J06000108
148,E07000125,Rossendale,NA,J06000109
149,E07000126,South Ribble,NA,J06000108
150,E07000127,West Lancashire,NA,J06000113
